STUDYPROGRAMSYSTEM	ACADYEAR	SEMESTER	COURSECODE	SECTION	NAMEENGLISHABBR	INSTRUCTORS	AVG_GPA
S	2005	2	2002604	1	APP STAT METHOD	STAFF	3.38
S	2005	2	2002605	1	LOGISTICS OPER MGT	STAFF	3.15
S	2005	1	2002607	1	COMP AID DSGN MANU	STAFF	3.64
S	2005	1	2002609	1	FIN ANAL CONT SYS	STAFF	3.26
S	2005	1	2002610	1	MANU STRAT IMP	STAFF	3.33
S	2005	2	2002611	1	COM DSGN MGT	STAFF	3.40
S	2005	1	2002616	1	QUAL MGT TECH	STAFF	3.65
S	2005	2	2002623	1	INFO SYS STRATEGY	STAFF	3.26
S	2005	1	2002625	1	APP LOG OPER MGT	STAFF	3.23
S	2005	1	2002626	1	HUMAN FAC IND	STAFF	3.50
S	2005	1	2002627	1	STRAT MKT	STAFF	3.26
S	2005	2	2002630	1	PROJ PLAN MGT CONT	STAFF	3.55
S	2005	2	2002645	1	INN STRATEGY	STAFF	4.00
S	2005	2	2002649	1	ADV TOP ENG MGT I	STAFF	3.00
S	2005	2	2002650	1	ADV TOP ENG MGT II	STAFF	4.00
S	2005	1	2101202	1	MECH MAT I	STAFF	2.30
S	2005	2	2101202	1	MECH MAT I	STAFF	2.48
S	2005	2	2101202	2	MECH MAT I	STAFF	2.32
S	2005	2	2101250	1	CIV ENG CONC	STAFF	2.34
S	2005	2	2101302	1	MAT TESTING LAB	STAFF	2.00
S	2005	1	2101306	1	STRUCT ANALYSIS	STAFF	1.61
S	2005	2	2101306	1	STRUCT ANALYSIS	STAFF	1.93
S	2005	1	2101307	1	RC DESIGN	STAFF	1.97
S	2005	2	2101307	1	RC DESIGN	STAFF	2.58
S	2005	1	2101308	1	MECH MAT II	STAFF	2.15
S	2005	1	2101308	2	MECH MAT II	STAFF	2.34
S	2005	2	2101308	1	MECH MAT II	STAFF	2.33
S	2005	1	2101310	1	STRUCT ANAL I	STAFF	2.07
S	2005	1	2101310	2	STRUCT ANAL I	STAFF	2.44
S	2005	2	2101310	1	STRUCT ANAL I	STAFF	2.00
S	2005	2	2101311	1	CIV ENG MAT	STAFF	2.22
S	2005	1	2101321	1	SOIL MECHS	STAFF	2.47
