,STUDYPROGRAM,FACCODE,DEGREETHAI,MAJORNAME,TOTAL,N_01,N_02,N_03,N_04,N_05,N_06,N_07,N_08,N_10,N_11,N_12,N_13,N_19,N_20,N_23,N_25,N_27,N_31,N_58,N_60,N_68,N_72
1,S,21,วิศวกรรมศาสตรบัณฑิต,วิศวกรรมคอมพิวเตอร์,409,409,,,,,,,,,,,,,,,,,,,,,
2,S,21,วิศวกรรมศาสตรบัณฑิต,วิศวกรรมทรัพยากรธรณี,72,72,,,,,,,,,,,,,,,,,,,,,
3,S,21,วิศวกรรมศาสตรบัณฑิต,วิศวกรรมปิโตรเลียม,64,64,,,,,,,,,,,,,,,,,,,,,
4,S,21,วิศวกรรมศาสตรบัณฑิต,วิศวกรรมยานยนต์,63,63,,,,,,,,,,,,,,,,,,,,,
5,S,21,วิศวกรรมศาสตรบัณฑิต,วิศวกรรมเคมี,247,247,,,,,,,,,,,,,,,,,,,,,
6,S,21,วิศวกรรมศาสตรบัณฑิต,วิศวกรรมเรือ,14,14,,,,,,,,,,,,,,,,,,,,,
7,S,21,วิศวกรรมศาสตรบัณฑิต,วิศวกรรมโลหการและวัสดุ,119,119,,,,,,,,,,,,,,,,,,,,,
8,S,21,วิศวกรรมศาสตรบัณฑิต,,594,594,,,,,,,,,,,,,,,,,,,,,
9,S,21,วิศวกรรมศาสตรบัณฑิต,วิศวกรรมไฟฟ้า,362,362,,,,,,,,,,,,,,,,,,,,,
10,S,21,วิศวกรรมศาสตรบัณฑิต,วิศวกรรมโยธา,333,333,,,,,,,,,,,,,,,,,,,,,
11,S,21,วิศวกรรมศาสตรบัณฑิต,วิศวกรรมเครื่องกล,243,242,1,,,,,,,,,,,,,,,,,,,,
12,S,21,วิศวกรรมศาสตรบัณฑิต,วิศวกรรมอุตสาหการ,292,292,,,,,,,,,,,,,,,,,,,,,
13,S,21,วิศวกรรมศาสตรบัณฑิต,วิศวกรรมสิ่งแวดล้อม,117,117,,,,,,,,,,,,,,,,,,,,,
14,S,21,วิศวกรรมศาสตรบัณฑิต,วิศวกรรมสำรวจ,109,109,,,,,,,,,,,,,,,,,,,,,
15,I,21,วิศวกรรมศาสตรบัณฑิต,วิศวกรรมการออกแบบและการผลิตยานยนต์,170,170,,,,,,,,,,,,,,,,,,,,,
16,I,21,วิศวกรรมศาสตรบัณฑิต,วิศวกรรมนาโน,161,160,,,,,,,,,,,,,,,,1,,,,,
17,I,21,วิศวกรรมศาสตรบัณฑิต,วิศวกรรมสารสนเทศและการสื่อสาร,218,217,,,,,,,,,,,,,,,,1,,,,,
18,I,21,วิศวกรรมศาสตรบัณฑิต,วิศวกรรมอากาศยาน,108,105,,,1,,,1,,,,,,,,,,,,1,,,
19,S,22,อักษรศาสตรบัณฑิต,ประวัติศาสตร์,51,51,,,,,,,,,,,,,,,,,,,,,
20,S,22,อักษรศาสตรบัณฑิต,ปรัชญา,36,36,,,,,,,,,,,,,,,,,,,,,
21,S,22,อักษรศาสตรบัณฑิต,ภาษาญี่ปุ่น,136,136,,,,,,,,,,,,,,,,,,,,,
22,S,22,อักษรศาสตรบัณฑิต,ภาษาฝรั่งเศส,34,34,,,,,,,,,,,,,,,,,,,,,
23,S,22,อักษรศาสตรบัณฑิต,ภาษาอังกฤษ,239,238,,1,,,,,,,,,,,,,,,,,,,
24,S,22,อักษรศาสตรบัณฑิต,,267,267,,,,,,,,,,,,,,,,,,,,,
25,S,22,อักษรศาสตรบัณฑิต,สารนิเทศศึกษา,52,52,,,,,,,,,,,,,,,,,,,,,
26,S,22,อักษรศาสตรบัณฑิต,ศิลปการละคร,48,48,,,,,,,,,,,,,,,,,,,,,
27,S,22,อักษรศาสตรบัณฑิต,ภูมิศาสตร์และภูมิสารสนเทศ,41,41,,,,,,,,,,,,,,,,,,,,,
28,S,22,อักษรศาสตรบัณฑิต,ภูมิศาสตร์,31,31,,,,,,,,,,,,,,,,,,,,,
29,S,22,อักษรศาสตรบัณฑิต,ภาษาไทย,76,76,,,,,,,,,,,,,,,,,,,,,
30,S,22,อักษรศาสตรบัณฑิต,ภาษาเยอรมัน,43,43,,,,,,,,,,,,,,,,,,,,,
31,S,22,อักษรศาสตรบัณฑิต,ภาษาอิตาเลียน,30,30,,,,,,,,,,,,,,,,,,,,,
32,S,22,อักษรศาสตรบัณฑิต,ภาษาสเปน,74,74,,,,,,,,,,,,,,,,,,,,,
33,S,22,อักษรศาสตรบัณฑิต,ภาษาบาลีและสันสกฤต,4,4,,,,,,,,,,,,,,,,,,,,,
34,S,22,อักษรศาสตรบัณฑิต,ภาษาจีน,87,86,1,,,,,,,,,,,,,,,,,,,,
35,I,22,อักษรศาสตรบัณฑิต,ภาษาและวัฒนธรรม,343,330,3,,1,,,5,,,,1,,,,,3,,,,,,
36,S,23,วิทยาศาสตรบัณฑิต,คณิตศาสตร์,162,162,,,,,,,,,,,,,,,,,,,,,
37,S,23,วิทยาศาสตรบัณฑิต,ชีวเคมี,117,117,,,,,,,,,,,,,,,,,,,,,
38,S,23,วิทยาศาสตรบัณฑิต,พฤกษศาสตร์,36,36,,,,,,,,,,,,,,,,,,,,,
39,S,23,วิทยาศาสตรบัณฑิต,ฟิสิกส์,132,132,,,,,,,,,,,,,,,,,,,,,
40,S,23,วิทยาศาสตรบัณฑิต,เทคโนโลยีทางอาหาร,234,234,,,,,,,,,,,,,,,,,,,,,
41,S,23,วิทยาศาสตรบัณฑิต,เทคโนโลยีทางภาพและการพิมพ์,137,137,,,,,,,,,,,,,,,,,,,,,
42,S,23,วิทยาศาสตรบัณฑิต,เคมีวิศวกรรม,269,269,,,,,,,,,,,,,,,,,,,,,
43,S,23,วิทยาศาสตรบัณฑิต,เคมี,317,317,,,,,,,,,,,,,,,,,,,,,
44,S,23,วิทยาศาสตรบัณฑิต,สัตววิทยา,35,35,,,,,,,,,,,,,,,,,,,,,
45,S,23,วิทยาศาสตรบัณฑิต,วิทยาศาสตร์สิ่งแวดล้อม,158,158,,,,,,,,,,,,,,,,,,,,,
